order_id,customer_id,customer_age,customer_gender,city,state,product_id,product_category,brand,quantity,unit_price,discount_percent,coupon_used,payment_method,order_status,customer_rating,delivery_days,customer_tenure_months,is_repeat_customer,warehouse,sales_channel,profit_margin_percent,returned_flag,marketing_source,order_date,total_amount
ORD00001,CUST8270,62,Other,Kolkata,TN,PROD268,Home,BrandA,5,210.02,20,Yes,Net Banking,Returned,4,8,12,1,WH-C,Website,10.25,1,Instagram,2024-12-01,840.08
ORD00002,CUST1860,18,Other,Hyderabad,DL,PROD180,Electronics,BrandC,3,1725.48,15,No,COD,Delivered,2,8,52,0,WH-C,Mobile App,27.73,1,Facebook,2025-01-04,4399.97
ORD00003,CUST6390,23,Male,Delhi,TS,PROD858,Home,BrandD,4,4601.13,10,Yes,Net Banking,Returned,1,9,45,0,WH-C,Mobile App,22.02,1,Google,2025-06-01,16564.07
ORD00004,CUST6191,22,Other,Hyderabad,WB,PROD367,Electronics,BrandC,5,3248.95,15,No,Net Banking,Returned,2,3,41,0,WH-C,Website,30.1,1,Email,2024-03-26,13808.04
ORD00005,CUST6734,62,Female,Hyderabad,KA,PROD479,Electronics,BrandD,5,2756.28,0,No,COD,Cancelled,4,13,19,0,WH-B,Website,26.78,1,Facebook,2025-12-11,13781.4
ORD00006,CUST7265,67,Other,Mumbai,TS,PROD869,Fashion,BrandB,4,3224.69,5,No,UPI,Cancelled,3,7,47,0,WH-B,Mobile App,29.73,0,Facebook,2025-03-19,12253.82
ORD00007,CUST1466,46,Female,Mumbai,WB,PROD172,Sports,BrandB,2,1677.51,10,Yes,Card,Cancelled,4,1,56,0,WH-A,Mobile App,23.58,1,Instagram,2025-07-06,3019.52
ORD00008,CUST5426,29,Male,Chennai,TS,PROD431,Sports,BrandD,3,448.72,0,Yes,UPI,Shipped,1,13,19,0,WH-C,Mobile App,38.19,0,Google,2025-08-27,1346.16
ORD00009,CUST6578,56,Male,Bangalore,TS,PROD287,Sports,BrandC,2,1448.22,15,No,COD,Returned,5,1,26,0,WH-A,Mobile App,28.61,0,Google,2024-01-19,2461.97
ORD00010,CUST9322,64,Female,Hyderabad,KA,PROD124,Sports,BrandD,1,1748.83,5,No,COD,Returned,5,8,21,0,WH-A,Mobile App,29.71,1,Email,2024-03-17,1661.39
